songId,trackName,albumName,artists,length,genres,mood,link,playCount
140,Too Fast,Into,Sonder,4:55,dark r&b,r&b,MELANCHOLIC,spotify:track:0QyJXG36Q3Kta662XS8GhY,0
141,The Chain - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,4:30,classic rock,yacht rock,soft rock,RELAXED,spotify:track:5e9TFTbltYBg2xThimr0rU,0
142,Churchill Downs (feat. Drake),Come Home The Kids Miss You,Jack Harlow|Drake,5:09,rap,RELAXED,spotify:track:3EMp20j5E42MxfFbsEsIvD,0
143,Virginia,Lord Willin',Clipse,3:57,,ENERGETIC,spotify:track:7dpFJmdFiahlgzzEmgUwoN,0
144,La Noche,Memoirs In Armour,Navy Blue,3:47,experimental hip hop,jazz rap,alternative hip hop,HAPPY,spotify:track:2G6kgs4EwNlD6ryujXV10b,0
145,Versace (Remix),Versace (feat. Drake) [Remix] - Single,Migos|Drake,4:06,trap,rap,MELANCHOLIC,spotify:track:0XGLsSU6wtfnKXiMNvQr61,0
146,New Person,Same Old Mistakes,Currents,Tame Impala,6:03,neo-psychedelic,indie,ENERGETIC,spotify:track:52ojopYMUzeNcudsoz7O9D,0
147,Sad People,Man On The Moon III: The Chosen,Kid Cudi,2:56,,RELAXED,spotify:track:4nuAslShoN77tq12fzwjUq,0
148,No More Old Men (feat. Jamila Woods),STAR LINE,Chance the Rapper|Jamila Woods,4:53,alternative r&b,RELAXED,spotify:track:6LZLbkN28UIxUK5Q8sSta4,0
149,Wholeheartedly (with Ty Dolla $ign & 6LACK),God Does Like Ugly,JID|Ty Dolla $ign|6LACK,3:45,trap soul,RELAXED,spotify:track:314sW8ZsMHGiYkn2fAOW9e,0
150,Trust Issues,Care Package,Drake,4:41,rap,FOCUSED,spotify:track:4Wjhj0WjkyECccfHVIgaTq,0
151,The Motion,Care Package,Drake,4:00,rap,ENERGETIC,spotify:track:0Tacxc5lDJ8LwiO1pWNSl8,0
152,Dreams Money Can Buy,Care Package,Drake,4:13,rap,FOCUSED,spotify:track:1qyFlfPREPbRcS2BNszdYI,0
153,Draft Day,Care Package,Drake,4:26,rap,ENERGETIC,spotify:track:3W3FVHEDetkiRkkGKDmdir,0
154,Feels (feat. Pharrell Williams,Katy Perry & Big Sean),Funk Wav Bounces Vol.1,Calvin Harris|Pharrell Williams|Katy Perry|Big Sean,3:43,edm,pop,HAPPY,spotify:track:3k2pJBWnajfqZ974BGlo3n,0
155,COOLER THAN A BITCH (feat. Roddy Ricch),WUNNA,Gunna|Roddy Ricch,3:17,melodic rap,RELAXED,spotify:track:5LHHKZOwV8XW4LJP2C64mw,0
156,Carolina On My Mind (feat. Deacon),The Come Up Mixtape Vol. 1,J. Cole|Deacon,3:41,rap,rockabilly,RELAXED,spotify:track:3mJQQc0tVWHQSOxX2VPqNa,0
157,Can't Cry,The Come Up Mixtape Vol. 1,J. Cole,4:15,rap,MELANCHOLIC,spotify:track:6DwJCFt83vo5vSAQ1RW0Ce,0
158,Lil' Ghetto Nigga,The Come Up Mixtape Vol. 1,J. Cole,4:10,rap,RELAXED,spotify:track:3EX88YkqniVjFfZUIFdHIv,0
159,College Boy,The Come Up Mixtape Vol. 1,J. Cole,5:04,rap,FOCUSED,spotify:track:5FuDfjbRSWcQ49dMqvTJ1r,0
160,Split You Up,The Come Up Mixtape Vol. 1,J. Cole,3:12,rap,RELAXED,spotify:track:1HmcQFTqMX6SNndXoply61,0
161,School Daze,The Come Up Mixtape Vol. 1,J. Cole,3:52,rap,ENERGETIC,spotify:track:6iaksrNnSgixq7dHs9iFOh,0
162,The Cow,Hitler Wears Hermes 4,Westside Gunn,5:13,boom bap,alternative hip hop,jazz rap,experimental hip hop,ENERGETIC,spotify:track:7ojpu2rzfcikZlU7E0S7AP,0
163,Slide (feat. Frank Ocean & Migos),Funk Wav Bounces Vol.1,Calvin Harris|Frank Ocean|Migos,3:50,edm,trap,RELAXED,spotify:track:0IGkonc1HxaTLXHzfZiShA,0
164,Excuse Me,AT.LONG.LAST.A$AP,A$AP Rocky,3:58,rap,RELAXED,spotify:track:4IuGyiFXT3uNSwiHVswOHE,0
165,Holy Ghost (feat. Joe Fox),AT.LONG.LAST.A$AP,A$AP Rocky|Joe Fox,3:11,rap,MELANCHOLIC,spotify:track:34BMAuAAB1Eh8TvYWLbMHD,0
166,5 Am in Toronto,Care Package,Drake,3:25,rap,MELANCHOLIC,spotify:track:0FnxK9FEAQyPJ284QcieNb,0
167,4pm in Calabasas,Care Package,Drake,4:00,rap,RELAXED,spotify:track:6C9SwoZ5OrxcvkntgA5t8s,0
168,Jodeci Freestyle (feat. J. Cole),Care Package,Drake|J. Cole,4:14,rap,RELAXED,spotify:track:2xUHiyGeGrWmmfv7NbDTWC,0
169,Tuscan Leather,Nothing Was The Same (Deluxe),Drake,6:06,rap,RELAXED,spotify:track:69gz9onZQNVw55cMQsaYii,0
170,Too Much,Nothing Was The Same (Deluxe),Drake|Sampha,4:21,rap,indie soul,RELAXED,spotify:track:5LnXWeA9tuWKI2C1H74iiJ,0
171,The Motion,Nothing Was The Same (Deluxe),Drake,4:01,rap,RELAXED,spotify:track:3t8pnImpBpOwxdtYBpKvA9,0
172,everybody dies,everybody dies,J. Cole,2:42,rap,MELANCHOLIC,spotify:track:4kn5FFkZo2gj9f6vB7x2A1,0
173,No Complaints (feat. Offset & Drake) (Bonus),NOT ALL HEROES WEAR CAPES (Deluxe),Metro Boomin|Offset|Drake,4:25,rap,RELAXED,spotify:track:156LzfvMNKuXuiot4uzhGD,0
174,7am On Bridle Path,Certified Lover Boy,Drake,3:59,rap,MELANCHOLIC,spotify:track:42m3eP1JJhtzffal9B136J,0
175,Pipe Down,Certified Lover Boy,Drake,3:25,rap,RELAXED,spotify:track:11pEKMLmavDu8fxOB5QjbQ,0
176,Higher,Friday Night Lights,J. Cole,3:49,rap,HAPPY,spotify:track:5FNs6bh3rJfayr3kaxlFzF,0
177,2Face,Friday Night Lights,J. Cole,4:46,rap,HAPPY,spotify:track:7aJlhilMlw03J9dzbgnKUR,0
178,Premeditated Murder,Friday Night Lights,J. Cole,3:54,rap,ENERGETIC,spotify:track:03HbB7J9CGnK7OLPM57J4r,0
179,See World,Friday Night Lights,J. Cole,4:13,rap,RELAXED,spotify:track:7zPky01AEgwDObrd2TeYrp,0
180,Farewell,Friday Night Lights,J. Cole,3:31,rap,RELAXED,spotify:track:0LotEj4pc3WnBshROxWts9,0
